accession,country,date
APHA79,Argentina,1979
APHA76,Venezuela,1976
AJ306220,Argentina,1987
AJ306219,Argentina,1981
AJ306222,Argentina,1987
AJ306221,Argentina,1987
AJ251476,Brazil,1955
AY593753,Brazil,1970
AY593756,Brazil,1959
AY593757,Brazil,1967
AY593758,Venezuela,1967
AY593767,Argentina,1965
AY593768,Brazil,1955
AY593769,Argentina,1959
AY593770,Argentina,1966
AY593771,Colombia,1967
AY593773,Peru,1969
AY593801,Uruguay,2001
AY593775,Venezuela,1970
AY593783,Argentina,2001
AY593782,Argentina,2000
AY593784,Argentina,2001
AY593785,Argentina,2001
AY593786,Argentina,2001
AY593787,Brazil,1977
AY593788,Brazil,1979
AY593789,Argentina,1961
AY593790,Argentina,2001
AY593794,Colombia,1985
AY593802,Uruguay,2001
AY593803,Brazil,1976
AJ409219,Argentina,1976
AJ308695,Argentina,1971
AJ308697,Argentina,1990
AJ308694,Argentina,1968
AJ308696,Argentina,1990
AJ308700,Argentina,1992
AJ308701,Argentina,1992
AJ308702,Argentina,1992
AJ308699,Argentina,1991
AJ308698,Argentina,1990
JQ082955,Brazil,1958
JQ082956,Brazil,1959
JQ082957,Brazil,1959
JQ082958,Venezuela,1962
JQ082959,Argentina,1962
JQ082966,Brazil,1970
JQ082960,Brazil,1955
JQ082961,Argentina,1959
JQ082962,Argentina,1966
JQ082963,Colombia,1967
JQ082972,Colombia,1976
JQ082964,Peru,1969
JQ082965,Venezuela,1970
JQ082969,Brazil,1976
JQ082970,Brazil,1976
EU553851,Brazil,1976
JQ082971,Brazil,1976
KX002178,Argentina,1976
KX002193,Argentina,2001
KX002197,Argentina,2001
KX002198,Argentina,2001
KX002199,Argentina,2001
KX002200,Argentina,2001
KX002201,Argentina,2001
KX002202,Argentina,2001
KX002176,Argentina,2001
KX002177,Argentina,2001
KX002179,Argentina,2001
KX002180,Argentina,2001
KX002181,Argentina,2001
KX002182,Argentina,2001
KX002183,Argentina,2001
KX002184,Argentina,2001
KX002185,Argentina,2001
KX002186,Argentina,2001
KX002187,Argentina,2001
KX002188,Argentina,2001
KX002189,Argentina,2001
KX002190,Argentina,2001
KX002191,Argentina,2001
KX002192,Argentina,2001
KX002194,Argentina,2000
KX002195,Argentina,2001
KX002196,Argentina,2001
KX002203,Argentina,2001
KX002204,Argentina,2001
KF112899,Argentina,1981
JQ082979,Colombia,1997
JQ082948,Venezuela,2004
JQ082949,Venezuela,2005
JQ082953,Venezuela,2006
JQ082906,Argentina,2000
KX002205,Argentina,2001
JQ082936,Venezuela,2003
JQ082941,Venezuela,2004
JQ082946,Venezuela,2004
KU234721,Venezuela,2013
JQ082921,Bolivia,2002
JQ082933,Venezuela,2001
JQ082935,Venezuela,2003
JQ082908,Argentina,2001
JQ082918,Bolivia,2001
JQ082976,Colombia,1984
JQ082911,Uruguay,2001
JQ082980,Colombia,1997
JQ082981,Colombia,1997
JQ082929,Ecuador,2002
JQ082967,Ecuador,1975
JQ082973,Ecuador,1979
JQ082945,Venezuela,2004
JQ082934,Venezuela,2002
JQ082937,Venezuela,2003
JQ082938,Venezuela,2003
JQ082943,Venezuela,2004
JQ082950,Venezuela,2005
JQ082951,Venezuela,2005
JQ082952,Venezuela,2005
JQ082923,Colombia,2008
JQ082924,Colombia,2008
JQ082925,Colombia,2008
JQ082926,Colombia,2008
JQ082927,Colombia,2008
JQ082928,Colombia,2008
JQ082919,Bolivia,2001
JQ082930,Peru,2000
JQ082931,Peru,1999
JQ082954,Venezuela,2007
JQ082920,Bolivia,2001
JQ082907,Argentina,2001
JQ082974,Brazil,1981
JQ082982,Brazil,1997
JQ082912,Brazil,2001
JQ082913,Brazil,2001
JQ082914,Brazil,2001
JQ082977,Colombia,1985
JQ082968,Peru,1975
JQ082975,Brazil,1984
JQ082915,Bolivia,2000
JQ082916,Bolivia,2001
JQ082917,Bolivia,2001
JQ082909,Argentina,2001
JQ082932,Venezuela,2001
JQ082939,Venezuela,2004
JQ082940,Venezuela,2004
JQ082942,Venezuela,2004
JQ082947,Venezuela,2004
JQ082922,Colombia,2004
JQ082910,Uruguay,2001
JQ082978,Venezuela,1989
JQ082944,Venezuela,2004
AM179997,Argentina,2000
AM180015,Argentina,2001
AM180020,Argentina,2001
AM179990,Argentina,2000
AM179995,Argentina,2000
AM180006,Argentina,2001
AM179993,Argentina,2000
AM180001,Argentina,2001
AM180009,Argentina,2001
AM179998,Argentina,2000
AM179988,Argentina,2000
AM180014,Argentina,2001
AM179996,Argentina,2000
AM180019,Argentina,2001
AM180011,Argentina,2001
AM180010,Argentina,2001
AM180003,Argentina,2001
AM180021,Argentina,2001
AM180004,Argentina,2001
AM180016,Argentina,2001
AM179989,Argentina,2000
AM179992,Argentina,2000
AM180017,Argentina,2001
AM180018,Argentina,2001
AM180007,Argentina,2001
AM179999,Argentina,2000
AM180022,Argentina,2001
AM180024,Argentina,2002
AM180000,Argentina,2001
AM179991,Argentina,2000
AM180005,Argentina,2001
AM179994,Argentina,2000
AM180008,Argentina,2001
AM180012,Argentina,2001
AM180013,Argentina,2001
AM180002,Argentina,2001
