"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,0,2453,0,0,194,0,95,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,221,0,23,0
"Chile",0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,200,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",2611,0,110305,0,0,0,469,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
